Date(IST),Temp,RH(%),Rain(mm)
01-01-2023 00:00,17.05,74.05,0
01-01-2023 00:15,16.78,75.18,0
01-01-2023 00:30,16.65,76.67,0
01-01-2023 00:45,16.55,76.35,0
01-01-2023 01:00,14.63,85.05,0
01-01-2023 01:15,14.32,86.95,0
01-01-2023 01:30,14.2,88.05,0
01-01-2023 01:45,14.17,88.4,0
01-01-2023 02:00,13.68,89.9,0
01-01-2023 02:15,13.53,89.68,0
01-01-2023 02:30,13.22,90.13,0
01-01-2023 02:45,13.3,90.18,0
01-01-2023 03:00,13.12,91.13,0
01-01-2023 03:15,13.08,90.93,0
01-01-2023 03:30,13.36,90.67,0
01-01-2023 03:45,14.05,88.5,0
01-01-2023 04:00,14.53,85.73,0
01-01-2023 04:15,14.48,86.13,0
01-01-2023 04:30,14.55,86.33,0
01-01-2023 04:45,14.47,86.03,0
01-01-2023 05:00,14.08,86.48,0
01-01-2023 05:15,13.83,87.95,0
01-01-2023 05:30,14.2,90,0
01-01-2023 05:45,14.1,90,0
01-01-2023 06:00,14.2,90,0
01-01-2023 06:15,14.1,90,0
01-01-2023 06:30,14.2,90,0
01-01-2023 06:45,14.2,89,0
01-01-2023 07:00,14,89,0
01-01-2023 07:15,13.9,90,0
01-01-2023 07:30,14.1,90,0
01-01-2023 07:45,14.2,90,0
01-01-2023 08:00,15.2,88,0
01-01-2023 08:15,16,87,0
01-01-2023 08:30,16.5,85,0
01-01-2023 08:45,17.9,80,0
01-01-2023 09:00,19.3,75,0
01-01-2023 09:15,20.7,69,0
01-01-2023 09:30,22.6,64,0
01-01-2023 09:45,24,57,0
01-01-2023 10:00,26.1,51,0
01-01-2023 10:15,26.5,49,0
01-01-2023 10:30,26.8,49,0
01-01-2023 10:45,27,46,0
01-01-2023 11:00,27.7,42,0
01-01-2023 11:15,28.1,41,0
01-01-2023 11:30,28.3,39,0
01-01-2023 11:45,29.7,38,0
01-01-2023 12:00,30.2,35,0
01-01-2023 12:15,30.2,33,0
01-01-2023 12:30,30.6,29,0
01-01-2023 12:45,30.9,27,0
01-01-2023 13:00,31.5,28,0
01-01-2023 13:15,31.4,27,0
01-01-2023 13:30,32.4,25,0
01-01-2023 13:45,31.8,23,0
01-01-2023 14:00,32.4,22,0
01-01-2023 14:15,32.2,21,0
01-01-2023 14:30,32.6,20,0
01-01-2023 14:45,32.5,22,0
01-01-2023 15:00,32.6,21,0
01-01-2023 15:15,32.5,19,0
01-01-2023 15:30,32.5,20,0
01-01-2023 15:45,32,19,0
01-01-2023 16:00,32.2,20,0
01-01-2023 16:15,32.2,20,0
01-01-2023 16:30,31.8,18,0
01-01-2023 16:45,31.5,18,0
01-01-2023 17:00,31.2,18,0
01-01-2023 17:15,30.6,19,0
01-01-2023 17:30,30.1,21,0
01-01-2023 17:45,29,22,0
01-01-2023 18:00,27.3,23,0
01-01-2023 18:15,26.2,26,0
01-01-2023 18:30,25.6,27,0
01-01-2023 18:45,25.5,27,0
01-01-2023 19:00,24.5,32,0
01-01-2023 19:15,23.6,37,0
01-01-2023 19:30,23,41,0
01-01-2023 19:45,22.3,45,0
01-01-2023 20:00,21.3,48,0
01-01-2023 20:15,20.4,52,0
01-01-2023 20:30,20.9,51,0
01-01-2023 20:45,19.1,56,0
01-01-2023 21:00,18.3,61,0
01-01-2023 21:15,17.4,65,0
01-01-2023 21:30,17.5,67,0
01-01-2023 21:45,18.9,64,0
01-01-2023 22:00,19.7,59,0
01-01-2023 22:15,19.1,62,0
01-01-2023 22:30,18.6,63,0
01-01-2023 22:45,18.3,66,0
01-01-2023 23:00,17.7,68,0
01-01-2023 23:15,17.4,71,0
01-01-2023 23:30,17,72,0
01-01-2023 23:45,16.6,73,0
02-01-2023 00:00,16.4,74,0
02-01-2023 00:30,16,75,0
02-01-2023 00:45,16,73,0
02-01-2023 01:00,15.4,74,0
02-01-2023 01:15,15.1,74,0
02-01-2023 01:30,15,74,0
02-01-2023 01:45,15,73,0
02-01-2023 02:00,14.9,73,0
02-01-2023 02:15,14.4,75,0
02-01-2023 02:30,14.5,74,0
02-01-2023 02:45,13.8,77,0
02-01-2023 03:00,13.5,83,0
02-01-2023 03:15,13.6,82,0
02-01-2023 03:30,13.5,81,0
02-01-2023 03:45,13.2,86,0
02-01-2023 04:00,13,88,0
02-01-2023 04:15,12.4,87,0
02-01-2023 04:30,12.5,88,0
02-01-2023 04:45,12.2,88,0
02-01-2023 05:00,12.2,88,0
02-01-2023 05:15,12.3,89,0
02-01-2023 05:30,12.1,88,0
02-01-2023 05:45,12.3,88,0
02-01-2023 06:00,12.8,87,0
02-01-2023 06:15,13.3,86,0
02-01-2023 06:30,13.2,87,0
02-01-2023 06:45,13.2,87,0
02-01-2023 07:00,13.2,87,0
02-01-2023 07:15,13.5,87,0
02-01-2023 07:30,13.7,86,0
02-01-2023 07:45,14.1,85,0
02-01-2023 08:00,15,81,0
02-01-2023 08:15,15.6,77,0
02-01-2023 08:30,16.7,75,0
02-01-2023 08:45,18.3,72,0
02-01-2023 09:00,19.9,64,0
02-01-2023 09:15,21.4,59,0
02-01-2023 09:30,22.7,54,0
02-01-2023 09:45,24.6,49,0
02-01-2023 10:00,25.2,48,0
02-01-2023 10:15,24.8,49,0
02-01-2023 10:30,25.7,50,0
02-01-2023 10:45,26.5,46,0
02-01-2023 11:00,27.2,45,0
02-01-2023 11:15,26.8,48,0
02-01-2023 11:30,27.3,47,0
02-01-2023 11:45,27.7,48,0
02-01-2023 12:00,28.1,46,0
02-01-2023 12:15,27.9,45,0
02-01-2023 12:30,28.5,42,0
02-01-2023 12:45,29,43,0
02-01-2023 13:00,29.2,42,0
02-01-2023 13:15,29.3,43,0
02-01-2023 13:30,29.5,41,0
02-01-2023 13:45,30.2,40,0
02-01-2023 14:00,30.5,39,0
02-01-2023 14:15,31.3,36,0
02-01-2023 14:30,31.5,32,0
02-01-2023 14:45,32.1,29,0
02-01-2023 15:00,32.5,30,0
02-01-2023 15:15,32.2,31,0
02-01-2023 15:30,31.3,31,0
02-01-2023 15:45,32.2,30,0
02-01-2023 16:00,32.4,30,0
02-01-2023 16:15,32.6,29,0
02-01-2023 16:30,32.6,29,0
02-01-2023 16:45,31.8,31,0
02-01-2023 17:00,30.8,33,0
02-01-2023 17:15,30.3,33,0
02-01-2023 17:30,30.2,36,0
02-01-2023 17:45,29.9,37,0
02-01-2023 18:00,28.2,39,0
02-01-2023 18:15,27.3,41,0
02-01-2023 18:30,26.4,42,0
02-01-2023 18:45,25.7,42,0
02-01-2023 19:00,25.1,43,0
