Trial name,Date,Treatment,Replication,PDI_SB,PDI_PB,PDI_AN
Trial 5,03.11.2023,T1,R1,0,0,8
Trial 5,03.11.2023,T1,R2,10,4,10
Trial 5,03.11.2023,T1,R3,10,2,12
Trial 5,03.11.2023,T2,R1,6,0,8
Trial 5,03.11.2023,T2,R2,12,4,10
Trial 5,03.11.2023,T2,R3,12,4,14
Trial 5,03.11.2023,T3,R1,6,0,8
Trial 5,03.11.2023,T3,R2,10,4,10
Trial 5,03.11.2023,T3,R3,10,2,10
Trial 5,03.11.2023,T4,R1,8,0,10
Trial 5,03.11.2023,T4,R2,10,4,10
Trial 5,03.11.2023,T4,R3,10,2,8
Trial 5,03.11.2023,T5,R1,10,2,8
Trial 5,03.11.2023,T5,R2,12,2,10
Trial 5,03.11.2023,T5,R3,10,2,12
Trial 5,07.11.2023,T1,R1,6,0,8
Trial 5,07.11.2023,T1,R2,12,4,12
Trial 5,07.11.2023,T1,R3,12,2,12
Trial 5,07.11.2023,T2,R1,10,0,10
Trial 5,07.11.2023,T2,R2,14,4,12
Trial 5,07.11.2023,T2,R3,14,4,12
Trial 5,07.11.2023,T3,R1,10,4,10
Trial 5,07.11.2023,T3,R2,14,4,14
Trial 5,07.11.2023,T3,R3,14,4,12
Trial 5,07.11.2023,T4,R1,12,0,16
Trial 5,07.11.2023,T4,R2,12,6,8
Trial 5,07.11.2023,T4,R3,8,2,10
Trial 5,07.11.2023,T5,R1,14,2,10
Trial 5,07.11.2023,T5,R2,12,2,12
Trial 5,07.11.2023,T5,R3,12,4,14
Trial 5,10.11.2023,T1,R1,6,2,14
Trial 5,10.11.2023,T1,R2,12,4,24
Trial 5,10.11.2023,T1,R3,16,4,16
Trial 5,10.11.2023,T2,R1,8,2,10
Trial 5,10.11.2023,T2,R2,16,4,20
Trial 5,10.11.2023,T2,R3,16,4,16
Trial 5,10.11.2023,T3,R1,10,4,16
Trial 5,10.11.2023,T3,R2,14,4,18
Trial 5,10.11.2023,T3,R3,18,4,14
Trial 5,10.11.2023,T4,R1,12,4,22
Trial 5,10.11.2023,T4,R2,12,4,14
Trial 5,10.11.2023,T4,R3,14,4,20
Trial 5,10.11.2023,T5,R1,16,4,20
Trial 5,10.11.2023,T5,R2,14,6,22
Trial 5,10.11.2023,T5,R3,16,4,20
Trial 5,12.10.2023,T1,R1,2,0,4
Trial 5,12.10.2023,T1,R2,0,0,6
Trial 5,12.10.2023,T1,R3,0,0,6
Trial 5,12.10.2023,T2,R1,2,0,12
Trial 5,12.10.2023,T2,R2,0,0,8
Trial 5,12.10.2023,T2,R3,0,0,8
Trial 5,12.10.2023,T3,R1,0,0,10
Trial 5,12.10.2023,T3,R2,2,0,8
Trial 5,12.10.2023,T3,R3,2,0,6
Trial 5,12.10.2023,T4,R1,0,0,12
Trial 5,12.10.2023,T4,R2,0,0,8
Trial 5,12.10.2023,T4,R3,0,0,8
Trial 5,12.10.2023,T5,R1,0,0,12
Trial 5,12.10.2023,T5,R2,2,0,6
Trial 5,12.10.2023,T5,R3,0,0,18
Trial 5,14.09.2023,T1,R1,0,0,0
Trial 5,14.09.2023,T1,R2,0,0,0
Trial 5,14.09.2023,T1,R3,0,0,0
Trial 5,14.09.2023,T2,R1,0,0,0
Trial 5,14.09.2023,T2,R2,0,0,0
Trial 5,14.09.2023,T2,R3,0,0,0
Trial 5,14.09.2023,T3,R1,0,0,0
Trial 5,14.09.2023,T3,R2,0,0,0
Trial 5,14.09.2023,T3,R3,0,0,0
Trial 5,14.09.2023,T4,R1,0,0,0
Trial 5,14.09.2023,T4,R2,0,0,0
Trial 5,14.09.2023,T4,R3,0,0,0
Trial 5,14.09.2023,T5,R1,0,0,0
Trial 5,14.09.2023,T5,R2,0,0,0
Trial 5,14.09.2023,T5,R3,0,0,0
Trial 5,17.10.2023,T1,R1,4,4,4
Trial 5,17.10.2023,T1,R2,2,0,2
Trial 5,17.10.2023,T1,R3,2,0,6
Trial 5,17.10.2023,T2,R1,2,2,4
Trial 5,17.10.2023,T2,R2,4,2,4
Trial 5,17.10.2023,T2,R3,4,2,8
Trial 5,17.10.2023,T3,R1,0,0,2
Trial 5,17.10.2023,T3,R2,4,2,8
Trial 5,17.10.2023,T3,R3,2,0,6
Trial 5,17.10.2023,T4,R1,0,0,4
Trial 5,17.10.2023,T4,R2,0,0,8
Trial 5,17.10.2023,T4,R3,4,0,8
Trial 5,17.10.2023,T5,R1,0,0,0
Trial 5,17.10.2023,T5,R2,2,2,6
Trial 5,17.10.2023,T5,R3,4,0,18
Trial 5,17.11.2023,T1,R1,12,4,16
Trial 5,17.11.2023,T1,R2,18,6,24
Trial 5,17.11.2023,T1,R3,12,6,16
Trial 5,17.11.2023,T2,R1,12,4,12
Trial 5,17.11.2023,T2,R2,18,4,20
Trial 5,17.11.2023,T2,R3,18,4,24
Trial 5,17.11.2023,T3,R1,12,4,16
Trial 5,17.11.2023,T3,R2,16,6,18
Trial 5,17.11.2023,T3,R3,20,4,16
Trial 5,17.11.2023,T4,R1,14,6,22
Trial 5,17.11.2023,T4,R2,14,6,16
Trial 5,17.11.2023,T4,R3,20,6,16
Trial 5,17.11.2023,T5,R1,24,4,20
Trial 5,17.11.2023,T5,R2,14,6,22
Trial 5,17.11.2023,T5,R3,18,4,20
Trial 5,18.09.2023,T1,R1,0,0,0
Trial 5,18.09.2023,T1,R2,0,0,0
Trial 5,18.09.2023,T1,R3,0,0,0
Trial 5,18.09.2023,T2,R1,0,0,0
Trial 5,18.09.2023,T2,R2,0,0,0
Trial 5,18.09.2023,T2,R3,0,0,0
Trial 5,18.09.2023,T3,R1,0,0,0
Trial 5,18.09.2023,T3,R2,0,0,0
Trial 5,18.09.2023,T3,R3,0,0,0
Trial 5,18.09.2023,T4,R1,0,0,0
Trial 5,18.09.2023,T4,R2,0,0,0
Trial 5,18.09.2023,T4,R3,0,0,0
Trial 5,18.09.2023,T5,R1,0,0,0
